0|Hokiliiga|700000|12500000|8|60240000|81500000|44
1|Hokiliiga|700000|12500000|8|60240000|81500000|63
2|Hokiliiga|700000|12500000|8|60240000|81500000|15
3|Hokiliiga|700000|12500000|8|60240000|81500000|30
4|Hokiliiga|700000|12500000|8|60240000|81500000|51
5|Hokiliiga|700000|12500000|8|60240000|81500000|30
6|Hokiliiga|700000|12500000|8|60240000|81500000|61
7|Hokiliiga|700000|12500000|8|60240000|81500000|63
8|Hokiliiga|700000|12500000|8|60240000|81500000|94
9|Hokiliiga|700000|12500000|8|60240000|81500000|44
